Title and details	link	mood	duration
Nocturne No.1 in B flat Minor Op.9 No.1 Arthur Rubinstein	https://www.youtube.com/watch?v=ZtIW2r1EalM	profondo soft pensieroso	6
DShostakovich   Waltz No2 (from the Jazz Suite No2)	https://www.youtube.com/watch?v=jOSnOuIVsBE	profondo energizzante	4
Frédéric Chopin - Piano Concerto No. 2. II Larghetto | Arthur Rubinstein	https://www.youtube.com/watch?v=Q_dSI0gVbp0	profondo soft pensieroso	10
Brahms - Violin Concerto in D major - III. Allegro giocoso ma non troppo vivace (Perlman/Giulini)	https://www.youtube.com/watch?v=Gk_e0C_Pnwo	allegro	9
Julia Fischer - Mendelssohn Violin Concerto in E Minor - 1ºmov	https://www.youtube.com/watch?v=SJUQD6Rr2M8	trasportante	14
Janine Jansen Plays Bruch 2/3 : Violin Concerto No.1	https://www.youtube.com/watch?v=_FtOT8mpf-Q	variabile	9
Janine Jansen Plays Bruch 3/3 : Violin Concerto No.1	https://www.youtube.com/watch?v=MmjwwC90sNc	allegro energico	9
Adagio in G Minor - Albinoni	https://www.youtube.com/watch?v=XMbvcp480Y4	triste	9
Barcarolle - Offenbach	https://www.youtube.com/watch?v=0u0M4CMq7uI	voce soft	4
Yo-Yo Ma - Ave Maria (J.S. Bach/ Gounod)	https://www.youtube.com/watch?v=hyUhEjtlDLA	soft	3
Bach Cello Suite No1 in G	https://www.youtube.com/watch?v=PCicM6i59_I	variabile trasportante	3
Beethoven   Choral Fantasy	https://www.youtube.com/watch?v=9kYJZoDrFeQ&t=2267s	voce potente	21
Beethoven   5th Piano Concerto 'Emperor' 1st movement	https://www.youtube.com/watch?v=hDXWK3W477w&t=30s	variabile potente	21
Beethoven   5th Piano Concerto 'Emperor' 2nd movement	https://www.youtube.com/watch?v=hDXWK3W477w&t=1275s	soft	9
Beethoven   5th Piano Concerto 'Emperor' 3rd movement	https://www.youtube.com/watch?v=hDXWK3W477w&t=1830s	potente	12
Beethoven Moonlight Sonata 1st movement	https://www.youtube.com/watch?v=4Tr0otuiQuU	soft triste	6
Beethoven Moonlight Sonata 3st movement	https://www.youtube.com/watch?v=4Tr0otuiQuU&t=485s	potente veloce	7
Beethoven - Piano Concerto No. 3	https://www.youtube.com/watch?v=-Tm0Phjiouk&t=1080s	soft 	9
Johannes Brahms -- Hungarian Dance No.5	https://www.youtube.com/watch?v=Nzo3atXtm54	allegro	4
Beethoven Violin Concerto in D major op. 61 1st movement	https://www.youtube.com/watch?v=gIdqiis3Mts	trasportante	25
Beethoven Violin Concerto in D major op. 61 3rd movement	https://www.youtube.com/watch?v=ORJ3PUGGX_s	allegro variabile	10
Chopin Mazurka Op. 67 No. 3	https://www.youtube.com/watch?v=wJTdfDD-TMg	soft positivo	2
Chopin Waltz Op. 70 No. 1 in G flat	https://www.youtube.com/watch?v=rI1NA2ECOww	soft positivo	2
Chopin - Fantaisie Impromptu Op. 66	https://www.youtube.com/watch?v=75x6DncZDgI	variabile	5
Chopin Sonata No. 2 in B Flat Minor Op 35 (III Marche funebre)	https://www.youtube.com/watch?v=ido55uT5U0k	lento profondo	9
Chopin Mazurka Op. 67 No. 2	https://www.youtube.com/watch?v=3T_qLVcikjQ	allegro	2
 Chopin Nocturne in C sharp Minor (No.20)	https://www.youtube.com/watch?v=m5qeuVOIbHk	profondo	4
Chopin - Nocturne Op. 27 No. 2	https://www.youtube.com/watch?v=WJ8RVjm49hE	lento soft	6
Chopin Nocturne Op. 37 No. 2 in G	https://www.youtube.com/watch?v=ymouzrzzgZ0	profondo variabile	7
Chopin Nocturne Op.48 No.1	https://www.youtube.com/watch?v=-7mntyrW3HU	lento malinconico	6
Chopin Nocturne Op.9 No.2	https://www.youtube.com/watch?v=YGRO05WcNDk	soft profondo	5
Chopin : Nocturne op. 9 no. 1	https://www.youtube.com/watch?v=ZtIW2r1EalM	variabile	6
Chopin - Polonaise Op. 53 	https://www.youtube.com/watch?v=8QT7ITv9Ecs	trasportante energico	7
Chopin: Prelude Op.28 No.15 in D Flat Major	https://www.youtube.com/watch?v=mvHLT16Bq1g	soft profondo	8
Chopin Scherzo No 2 Op 31	https://www.youtube.com/watch?v=ETH8NA-_zXw	variabile	10
Chopin - Waltz Op. 64 No. 2	https://www.youtube.com/watch?v=hOcryGEw1NY	variabile	4
CLAUDE DEBUSSY: CLAIR DE LUNE	https://www.youtube.com/watch?v=CvFH_6DNRCY	soft pensieroso	5
Debussy Mazurka	https://www.youtube.com/watch?v=fsBAXxG-4Jw	soft	4
Dvorák - Slavonic Dance No. 6	https://www.youtube.com/watch?v=vFYoOfkGrsM	allegro	6
Liszt - Liebestraum No. 3	https://www.youtube.com/watch?v=XsxDH4HcOWA	variabile	5
Liszt - Consolation Nr. 3	https://www.youtube.com/watch?v=705LabZ1U88	soft	5
Liszt Three Concert Etudes S.144 No.3 "Un Sospiro"	https://www.youtube.com/watch?v=Pq-y9KGqssc	variabile trasportante	6
Paganini Liszt La Campanella - Piano	https://www.youtube.com/watch?v=M0U73NRSIkw&t=18s	trasportante	5
Paganini Liszt La Campanella - Violino	https://www.youtube.com/watch?v=YaxHZxvmSwQ	trasportante	9
Paganini Nel cor più non mi sento	https://www.youtube.com/watch?v=OpxwHm_a_Po	variabile particolare	11
Paganini The Carnival of Venice	https://www.youtube.com/watch?v=qYlQJkcI2sk	trasportante allegro	12
Rachmaninoff Rhapsody on a Theme of Paganini Op 43 'Variation 18'	https://www.youtube.com/watch?v=bKZbvluHcNo	trasportante romantico	3
Ravel Bolero	https://www.youtube.com/watch?v=r30D3SW4OVw	trasportante energico	15
Rossini - La gazza ladra - Overture	https://www.youtube.com/watch?v=3MRvDGd02mA	trasportante energico	10
Saint-Saens - Introduction & Rondo Capriccioso	https://www.youtube.com/watch?v=-HQyXWkABo0	trasportante energico	9
Pablo de Sarasate Carmen Fantasy	https://www.youtube.com/watch?v=ZgE1jBBnU6s	allegro energico	14
Pablo de Sarasate -- Spanish Dances No.1	https://www.youtube.com/watch?v=hZwOwhr1TPE	allegro	5
Sarasate Pablo de Spanish Dances op.22 no.1 Romanza Andaluza	https://www.youtube.com/watch?v=y7nPb14ib0U	allegro	5
Pablo de Sarasate Zigeunerweisen	https://www.youtube.com/watch?v=ufIlOXXMqs0	variabile	9
Schubert - 4 Impromptus D. 899 / Op. 90	https://www.youtube.com/watch?v=QDVJkxGz_Tc	variabile	30
Schubert "Serenade"	https://www.youtube.com/watch?v=ZpA0l2WB86E	soft	4
Sibelius - Valse Triste	https://www.youtube.com/watch?v=OoUBZ43M2WY	soft	6
Sibelius - Violin Concerto in D minor Op. 47 3rd Movt	https://www.youtube.com/watch?v=XD5WLw2IY7w	allegro energico	8
Tchaikovsky - Waltz of the Flowers	https://www.youtube.com/watch?v=Cg1dMpu4v7M	trasportante	7
Tchaikovsky - Violin Concerto in D major Op 35	https://www.youtube.com/watch?v=cbJZeNlrYKg&t=2s	trasportante	36
Vivaldi - Estate	https://www.youtube.com/watch?v=KYfNaL9lODs	veloce potente	10
Vivaldi - Inverno	https://www.youtube.com/watch?v=uC-USAB530A	veloce potente	10
Strauss - Emperor Waltz Op. 437	https://www.youtube.com/watch?v=km77rugc07M	trasportante	11
Johann Strauss Radetzky-Marsch	https://www.youtube.com/watch?v=BlbQrm6zIYo	trasportante	4
Johann Strauss Voices of Spring Waltz	https://www.youtube.com/watch?v=2gG9YSaf4Mg	trasportante	6
Johann Strauss Sul Bel Danubio	https://www.youtube.com/watch?v=lj8UIob3i0g	trasportante	10
Johann Strauss - Tritsch-Tratsch-Polka	https://www.youtube.com/watch?v=_02KxrQYXB4	allegro	3
Johann Strauss II - Vienna Blood Waltz	https://www.youtube.com/watch?v=xSQrGAQZM5Y	trasportante	7
Johann Strauss II - Vienna Sweets Waltz op. 307	https://www.youtube.com/watch?v=Or_A44S1b0E	trasportante	9
Johann Strauss Jr - Love Songs	https://www.youtube.com/watch?v=YSV1dAhn5D0	trasportante	10
Johann Strauss II - Rosen aus dem Süden - Walzer Op. 388	https://www.youtube.com/watch?v=WmXm5HUYWv8	trasportante	9
